PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;92;5;1;28092005_1_38;2016;2;14;1;V;2;V;1;V;2;V;2;V;1;V;2;V;1;V;2;V;2;V;1;V;2;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;1;V
28;92;5;6;28092005_6_48;2016;2;14;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V
28;92;5;7;28092005_7_8;2016;2;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;92;5;8;28092005_8_8;2016;2;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;5;V;6;V;14;V;12;V;4;V;2;V;2;V
28;92;5;10;28092005_10_49;2016;2;14;6;V;6;V;7;V;13;V;6;V;10;V;14;V;13;V;5;V;17;V;4;V;7;V;5;V;3;V;1;V;3;V;8;V;7;V;16;V;1;V;3;V;6;V;11;V;2;V
28;92;5;12;28092005_12_8;2016;2;14;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;4;V;7;V;8;V;16;V;14;V;6;V;4;V;4;V
28;92;5;14;28092005_14_6;2016;2;14;51;V;58;V;67;V;86;V;83;V;64;V;61;V;67;V;73;V;77;V;72;V;84;V;85;V;84;V;87;V;84;V;83;V;76;V;71;V;62;V;68;V;75;V;77;V;78;V
28;102;1;1;28102001_1_38;2016;2;15;2;V;2;V;2;V;3;V;2;V;2;V;2;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2016;2;15;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;;N;;N;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V
28;102;1;7;28102001_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;2;15;8;V;5;V;5;V;5;V;5;V;5;V;6;V;;N;;N;5;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V
28;102;1;10;28102001_10_49;2016;2;15;1;V;3;V;6;V;2;V;1;V;1;V;3;V;;N;2;V;2;V;4;V;2;V;1;V;1;V;3;V;3;V;4;V;7;V;14;V;13;V;8;V;3;V;2;V;14;V
28;102;1;12;28102001_12_8;2016;2;15;10;V;7;V;7;V;7;V;7;V;7;V;8;V;;N;;N;7;V;6;V;6;V;5;V;5;V;5;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;7;V;7;V
28;102;1;14;28102001_14_6;2016;2;15;74;V;75;V;72;V;72;V;75;V;74;V;78;V;;N;;N;75;V;79;V;82;V;88;V;90;V;90;V;89;V;89;V;87;V;82;V;80;V;78;V;78;V;77;V;76;V
28;123;2;7;28123002_7_8;2016;2;15;2;V;2;V;2;V;2;V;3;V;7;V;23;V;50;V;44;V;28;V;15;V;10;V;8;V;;N;10;V;10;V;11;V;16;V;17;V;16;V;9;V;5;V;3;V;2;V
28;123;2;8;28123002_8_8;2016;2;15;12;V;10;V;12;V;10;V;12;V;26;V;57;V;83;V;70;V;45;V;25;V;16;V;14;V;;N;18;V;18;V;22;V;30;V;36;V;37;V;22;V;18;V;13;V;9;V
28;123;2;10;28123002_10_49;2016;2;15;11;V;11;V;8;V;3;V;4;V;6;V;5;V;21;V;17;V;8;V;8;V;8;V;11;V;;N;6;V;8;V;10;V;10;V;9;V;12;V;11;V;7;V;8;V;9;V
28;123;2;12;28123002_12_8;2016;2;15;15;V;13;V;15;V;13;V;17;V;37;V;92;V;160;V;137;V;88;V;48;V;31;V;26;V;;N;33;V;33;V;39;V;55;V;62;V;62;V;36;V;26;V;18;V;12;V
28;123;2;14;28123002_14_6;2016;2;15;67;V;66;V;68;V;70;V;69;V;57;V;34;V;12;V;23;V;40;V;62;V;73;V;75;V;;N;76;V;76;V;73;V;64;V;60;V;55;V;64;V;67;V;71;V;74;V
28;123;2;14;28123002_14_8;2016;2;15;75;V;74;V;77;V;79;V;77;V;64;V;37;V;12;V;24;V;44;V;69;V;82;V;83;V;;N;77;V;77;V;74;V;63;V;60;V;54;V;64;V;67;V;72;V;75;V
28;13;2;7;28013002_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;1;V;4;V;6;V;3;V;2;V;4;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2016;2;15;6;V;6;V;2;V;3;V;4;V;12;V;11;V;26;V;26;V;15;V;8;V;15;V;5;V;5;V;6;V;7;V;8;V;8;V;10;V;10;V;9;V;8;V;6;V;9;V
28;13;2;10;28013002_10_49;2016;2;15;3;V;4;V;2;V;4;V;3;V;1;V;2;V;2;V;4;V;4;V;5;V;5;V;5;V;4;V;1;V;2;V;5;V;9;V;10;V;9;V;7;V;7;V;1;V;1;V
28;13;2;12;28013002_12_8;2016;2;15;8;V;8;V;4;V;5;V;6;V;15;V;13;V;32;V;35;V;20;V;11;V;21;V;7;V;7;V;9;V;10;V;10;V;10;V;12;V;12;V;11;V;10;V;8;V;11;V
28;13;2;14;28013002_14_6;2016;2;15;66;V;63;V;68;V;67;V;69;V;61;V;66;V;45;V;45;V;58;V;68;V;63;V;81;V;81;V;80;V;79;V;79;V;74;V;70;V;69;V;65;V;66;V;69;V;63;V
28;133;2;7;28133002_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2016;2;15;1;V;2;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;4;V;4;V;3;V;4;V;4;V;3;V;3;V;2;V;2;V
28;133;2;12;28133002_12_8;2016;2;15;3;V;4;V;3;V;3;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;5;V;5;V;5;V;6;V;6;V;5;V;6;V;6;V;5;V;5;V;4;V;4;V
28;133;2;14;28133002_14_6;2016;2;15;72;V;71;V;70;V;73;V;75;V;75;V;72;V;70;V;72;V;73;V;72;V;71;V;71;V;76;V;79;V;79;V;78;V;78;V;77;V;75;V;75;V;75;V;74;V;75;V
28;14;2;7;28014002_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;9;V;21;V;19;V;8;V;5;V;10;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2016;2;15;6;V;4;V;3;V;4;V;7;V;23;V;59;V;80;V;63;V;28;V;17;V;19;V;10;V;8;V;7;V;10;V;10;V;15;V;18;V;20;V;11;V;9;V;9;V;6;V
28;14;2;10;28014002_10_49;2016;2;15;7;V;3;V;1;V;1;V;1;V;1;V;5;V;18;V;19;V;20;V;14;V;18;V;8;V;11;V;10;V;3;V;32;V;14;V;9;V;4;V;8;V;8;V;4;V;7;V
28;14;2;12;28014002_12_8;2016;2;15;8;V;6;V;5;V;6;V;9;V;26;V;73;V;112;V;92;V;40;V;25;V;34;V;15;V;11;V;10;V;13;V;13;V;18;V;21;V;22;V;13;V;11;V;11;V;8;V
28;14;2;14;28014002_14_6;2016;2;15;71;V;71;V;70;V;72;V;70;V;55;V;24;V;10;V;27;V;54;V;64;V;76;V;76;V;79;V;82;V;79;V;78;V;71;V;65;V;61;V;65;V;68;V;67;V;69;V
28;148;4;7;28148004_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;2;V;11;V;6;V;3;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2016;2;15;8;V;7;V;13;V;25;V;20;V;39;V;55;V;84;V;46;V;22;V;12;V;14;V;11;V;9;V;10;V;12;V;12;V;18;V;23;V;21;V;19;V;14;V;10;V;6;V
28;148;4;9;28148004_9_49;2016;2;15;9;V;2;V;2;V;5;V;1;V;2;V;6;V;2;V;4;V;2;V;7;V;1;V;3;V;1;V;3;V;4;V;1;V;5;V;8;V;2;V;5;V;3;V;3;V;1;V
28;148;4;10;28148004_10_49;2016;2;15;5;V;6;V;4;V;3;V;2;V;4;V;6;V;3;V;11;V;9;V;5;V;7;V;4;V;6;V;2;V;5;V;4;V;6;V;11;V;4;V;2;V;1;V;6;V;4;V
28;148;4;12;28148004_12_8;2016;2;15;10;V;9;V;15;V;27;V;22;V;42;V;58;V;101;V;55;V;27;V;14;V;19;V;13;V;11;V;12;V;14;V;14;V;20;V;25;V;23;V;21;V;16;V;12;V;8;V
28;148;4;14;28148004_14_6;2016;2;15;67;V;67;V;58;V;42;V;48;V;40;V;33;V;15;V;41;V;53;V;67;V;68;V;69;V;74;V;75;V;72;V;71;V;64;V;59;V;58;V;59;V;63;V;67;V;70;V
28;16;1;1;28016001_1_38;2016;2;15;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2016;2;15;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;7;28016001_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2016;2;15;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;5;V;4;V;4;V;3;V;4;V;4;V;4;V;3;V;3;V
28;16;1;9;28016001_9_49;2016;2;15;4;V;1;V;1;V;1;V;1;V;2;V;2;V;4;V;2;V;3;V;2;V;3;V;45;N;34;N;1;V;1;V;1;V;1;V;2;V;1;V;3;V;2;V;3;V;2;V
28;16;1;10;28016001_10_49;2016;2;15;4;V;5;V;3;V;2;V;6;V;11;V;8;V;3;V;2;V;7;V;2;V;3;V;4;V;7;V;1;V;3;V;4;V;7;V;9;V;5;V;3;V;7;V;8;V;6;V
28;16;1;12;28016001_12_8;2016;2;15;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;7;V;6;V;6;V;5;V;6;V;6;V;6;V;5;V;5;V
28;16;1;14;28016001_14_6;2016;2;15;77;V;78;V;77;V;76;V;77;V;79;V;79;V;77;V;72;V;74;V;75;V;76;V;81;V;82;V;81;V;82;V;83;V;83;V;81;V;80;V;80;V;81;V;79;V;78;V
28;16;1;20;28016001_20_59;2016;2;15;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V
28;16;1;30;28016001_30_59;2016;2;15;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V
28;16;1;42;28016001_42_2;2016;2;15;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6.1;V;6.1;V;6.1;V;6.1;V;6;V;6;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V
28;16;1;44;28016001_44_2;2016;2;15;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;161;1;7;28161001_7_8;2016;2;15;1;V;1;V;1;V;1;V;2;V;2;V;5;V;7;V;7;V;4;V;4;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;1;V;1;V;2;V
28;161;1;8;28161001_8_8;2016;2;15;2;V;2;V;2;V;3;V;3;V;7;V;14;V;29;V;20;V;12;V;13;V;12;V;10;V;10;V;11;V;12;V;15;V;23;V;25;V;26;V;21;V;14;V;14;V;13;V
28;161;1;9;28161001_9_49;2016;2;15;8;V;6;V;6;V;4;V;1;V;5;V;9;V;8;V;10;V;9;V;6;V;6;V;19;V;13;V;12;V;9;V;7;V;8;V;7;V;17;V;8;V;7;V;6;V;7;V
28;161;1;12;28161001_12_8;2016;2;15;4;V;4;V;4;V;5;V;6;V;10;V;22;V;40;V;31;V;18;V;19;V;17;V;15;V;16;V;16;V;17;V;20;V;28;V;30;V;31;V;24;V;16;V;16;V;16;V
28;161;1;14;28161001_14_6;2016;2;15;78;V;77;V;72;V;71;V;75;V;73;V;65;V;44;V;57;V;65;V;65;V;70;V;76;V;77;V;78;V;75;V;73;V;60;V;55;V;51;V;58;V;63;V;61;V;60;V
28;171;1;1;28171001_1_38;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;6;28171001_6_48;2016;2;15;0.3;V;0.8;V;0.5;V;0.6;V;0.5;V;0.3;V;0.5;V;0.8;V;1.5;V;0.9;V;0.7;V;0.8;V;0.4;V;0.3;V;0.4;V;0.2;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V
28;171;1;7;28171001_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2016;2;15;1;V;2;V;1;V;1;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;9;28171001_9_49;2016;2;15;7;V;5;V;1;V;3;V;4;V;4;V;1;V;5;V;2;V;3;V;6;V;1;V;7;V;4;V;3;V;6;V;1;V;4;V;3;V;5;V;3;V;4;V;3;V;2;V
28;171;1;10;28171001_10_49;2016;2;15;9;V;7;V;19;V;1;V;5;V;24;V;6;V;5;V;10;V;7;V;9;V;19;V;27;V;7;V;10;V;1;V;8;V;1;V;10;V;16;V;2;V;4;V;1;V;15;V
28;171;1;12;28171001_12_8;2016;2;15;3;V;4;V;3;V;3;V;3;V;6;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;171;1;14;28171001_14_6;2016;2;15;77;V;75;V;77;V;78;V;79;V;78;V;76;V;75;V;78;V;76;V;77;V;76;V;77;V;80;V;83;V;84;V;82;V;81;V;81;V;79;V;78;V;79;V;78;V;77;V
28;180;1;7;28180001_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;4;V;11;V;5;V;4;V;;N;;N;2;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;1;V;1;V;2;V
28;180;1;8;28180001_8_8;2016;2;15;2;V;1;V;1;V;2;V;3;V;9;V;20;V;28;V;22;V;10;V;;N;;N;4;V;6;V;3;V;4;V;5;V;6;V;8;V;10;V;7;V;5;V;4;V;4;V
28;180;1;9;28180001_9_49;2016;2;15;2;V;3;V;3;V;2;V;3;V;4;V;5;V;7;V;9;V;7;V;;N;3;V;1;V;2;V;6;V;6;V;5;V;6;V;5;V;5;V;7;V;5;V;3;V;3;V
28;180;1;12;28180001_12_8;2016;2;15;4;V;3;V;3;V;4;V;5;V;12;V;26;V;45;V;30;V;16;V;;N;;N;7;V;11;V;6;V;7;V;8;V;11;V;13;V;15;V;12;V;7;V;6;V;7;V
28;180;1;14;28180001_14_6;2016;2;15;74;V;74;V;75;V;69;V;67;V;60;V;51;V;46;V;55;V;65;V;;N;;N;81;V;83;V;86;V;85;V;85;V;81;V;76;V;71;V;70;V;75;V;73;V;72;V
28;45;2;6;28045002_6_48;2016;2;15;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;45;2;7;28045002_7_8;2016;2;15;2;V;1;V;1;V;1;V;1;V;2;V;2;V;6;V;15;V;7;V;6;V;8;V;9;V;7;V;6;V;5;V;9;V;7;V;12;V;13;V;7;V;4;V;2;V;2;V
28;45;2;8;28045002_8_8;2016;2;15;8;V;7;V;7;V;8;V;7;V;9;V;12;V;22;V;44;V;20;V;15;V;17;V;18;V;13;V;12;V;11;V;15;V;19;V;27;V;29;V;17;V;13;V;8;V;6;V
28;45;2;10;28045002_10_49;2016;2;15;2;V;6;V;6;V;5;V;5;V;6;V;4;V;3;V;8;V;4;V;4;V;4;V;7;V;2;V;2;V;2;V;8;V;9;V;8;V;10;V;4;V;4;V;4;V;3;V
28;45;2;12;28045002_12_8;2016;2;15;11;V;9;V;9;V;10;V;9;V;12;V;15;V;31;V;67;V;31;V;24;V;29;V;32;V;24;V;21;V;19;V;29;V;30;V;45;V;49;V;28;V;19;V;11;V;9;V
28;45;2;14;28045002_14_6;2016;2;15;81;V;81;V;83;V;82;V;85;V;87;V;82;V;70;V;57;V;71;V;78;V;77;V;78;V;81;V;83;V;84;V;79;V;79;V;72;V;69;V;76;V;79;V;82;V;83;V
28;47;2;1;28047002_1_38;2016;2;15;4;V;3;V;4;V;3;V;3;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V
28;47;2;7;28047002_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;5;V;6;V;5;V;5;V;6;V;5;V;4;V;4;V;4;V;3;V;4;V;4;V;3;V;2;V;2;V;1;V
28;47;2;8;28047002_8_8;2016;2;15;3;V;2;V;2;V;2;V;2;V;5;V;9;V;13;V;15;V;14;V;10;V;11;V;11;V;12;V;11;V;12;V;10;V;12;V;16;V;18;V;14;V;8;V;7;V;5;V
28;47;2;9;28047002_9_49;2016;2;15;2;V;5;V;6;V;6;V;3;V;2;V;5;V;6;V;6;V;5;V;5;V;6;V;5;V;6;V;8;V;8;V;4;V;5;V;9;V;8;V;6;V;5;V;6;V;7;V
28;47;2;12;28047002_12_8;2016;2;15;5;V;4;V;4;V;4;V;4;V;7;V;12;V;19;V;23;V;23;V;18;V;19;V;20;V;20;V;17;V;18;V;16;V;17;V;22;V;24;V;19;V;11;V;10;V;7;V
28;47;2;14;28047002_14_6;2016;2;15;84;V;85;V;86;V;87;V;88;V;84;V;79;V;75;V;73;V;76;V;79;V;80;V;81;V;87;V;89;V;89;V;87;V;88;V;81;V;78;V;84;V;87;V;88;V;86;V
28;47;2;20;28047002_20_59;2016;2;15;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.5;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;47;2;30;28047002_30_59;2016;2;15;0.9;V;0.7;V;0.7;V;0.6;V;0.6;V;0.8;V;0.8;V;1.1;V;1.2;V;1.1;V;1.5;V;1.8;V;1.2;V;1.2;V;1;V;1.4;V;1.4;V;1.3;V;1.5;V;1.7;V;1.6;V;1.3;V;1.1;V;1.2;V
28;47;2;42;28047002_42_2;2016;2;15;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V
28;47;2;44;28047002_44_2;2016;2;15;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V
28;49;3;7;28049003_7_8;2016;2;15;1;V;1;V;1;V;1;V;4;V;16;V;33;V;43;V;49;V;38;V;15;V;12;V;11;V;15;V;12;V;9;V;10;V;13;V;15;V;13;V;6;V;5;V;3;V;1;V
28;49;3;8;28049003_8_8;2016;2;15;8;V;9;V;9;V;10;V;22;V;53;V;72;V;76;V;82;V;65;V;35;V;27;V;29;V;27;V;29;V;25;V;25;V;35;V;38;V;37;V;24;V;19;V;17;V;11;V
28;49;3;10;28049003_10_49;2016;2;15;2;V;2;V;3;V;2;V;2;V;6;V;10;V;21;V;14;V;10;V;8;V;4;V;3;V;7;V;4;V;9;V;8;V;9;V;10;V;11;V;10;V;5;V;3;V;11;V
28;49;3;12;28049003_12_8;2016;2;15;10;V;11;V;11;V;12;V;28;V;78;V;123;V;142;V;157;V;123;V;58;V;45;V;46;V;50;V;47;V;39;V;40;V;55;V;61;V;57;V;33;V;27;V;22;V;13;V
28;49;3;14;28049003_14_6;2016;2;15;75;V;71;V;71;V;69;V;61;V;31;V;22;V;22;V;14;V;24;V;55;V;65;V;66;V;68;V;71;V;72;V;70;V;62;V;57;V;54;V;63;V;67;V;68;V;74;V
28;5;2;1;28005002_1_38;2016;2;15;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;5;V;4;V;4;V;3;V;2;V;2;V;4;V;4;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V
28;5;2;6;28005002_6_48;2016;2;15;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.7;V;0.7;V;0.6;V;1.8;V;0.6;V;0.6;V;0.5;V;0.9;V;0.7;V;1.2;V;0.6;V;0.6;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V
28;5;2;7;28005002_7_8;2016;2;15;2;V;1;V;1;V;1;V;3;V;33;V;69;V;11;V;11;V;11;V;7;V;7;V;7;V;6;V;5;V;5;V;4;V;4;V;4;V;8;V;6;V;4;V;3;V;2;V
28;5;2;8;28005002_8_8;2016;2;15;13;V;8;V;11;V;11;V;24;V;73;V;98;V;42;V;38;V;26;V;16;V;15;V;18;V;14;V;15;V;13;V;17;V;18;V;21;V;26;V;26;V;24;V;22;V;10;V
28;5;2;10;28005002_10_49;2016;2;15;14;V;6;V;1;V;1;V;1;V;3;V;15;V;14;V;6;V;2;V;1;V;1;V;7;V;6;V;1;V;2;V;8;V;15;V;10;V;10;V;12;V;8;V;9;V;4;V
28;5;2;12;28005002_12_8;2016;2;15;16;V;10;V;13;V;13;V;29;V;124;V;204;V;59;V;55;V;43;V;27;V;26;V;29;V;23;V;23;V;21;V;23;V;24;V;27;V;38;V;35;V;30;V;27;V;13;V
28;5;2;14;28005002_14_6;2016;2;15;62;V;63;V;61;V;60;V;53;V;18;V;9;V;50;V;48;V;52;V;65;V;65;V;64;V;71;V;72;V;74;V;70;V;67;V;64;V;61;V;56;V;56;V;55;V;62;V
28;58;4;7;28058004_7_8;2016;2;15;2;V;2;V;2;V;2;V;2;V;3;V;4;V;16;V;10;V;9;V;8;V;8;V;8;V;7;V;7;V;6;V;6;V;7;V;7;V;7;V;5;V;4;V;3;V;3;V
28;58;4;8;28058004_8_8;2016;2;15;2;V;1;V;1;V;2;V;3;V;10;V;27;V;55;V;32;V;17;V;17;V;17;V;18;V;12;V;12;V;13;V;13;V;22;V;21;V;20;V;18;V;12;V;9;V;6;V
28;58;4;10;28058004_10_49;2016;2;15;4;V;3;V;1;V;1;V;1;V;1;V;1;V;2;V;11;V;11;V;7;V;5;V;2;V;2;V;4;V;3;V;3;V;7;V;8;V;8;V;8;V;5;V;4;V;4;V
28;58;4;12;28058004_12_8;2016;2;15;5;V;4;V;4;V;5;V;6;V;15;V;33;V;80;V;47;V;31;V;29;V;29;V;30;V;23;V;23;V;22;V;22;V;33;V;32;V;31;V;26;V;18;V;14;V;11;V
28;58;4;14;28058004_14_6;2016;2;15;73;V;74;V;73;V;72;V;76;V;69;V;51;V;24;V;46;V;60;V;60;V;61;V;63;V;76;V;77;V;76;V;75;V;62;V;65;V;63;V;64;V;69;V;72;V;75;V
28;58;4;20;28058004_20_59;2016;2;15;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.6;V;2.9;V;2.9;V;2.8;V;2.8;V;2.2;V;1.9;V;1.8;V;0.8;V;0.9;V;1.1;V;1.9;V;1.1;V;1.5;V;0.7;V;0.8;V;0.5;V;0.1;V
28;58;4;30;28058004_30_59;2016;2;15;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.8;V;1;V;2.3;V;2;V;1.5;V;1.4;V;1.5;V;1.6;V;1.3;V;1.1;V;1.2;V;1.4;V;1.5;V;1.3;V;1.5;V;1.3;V;1.4;V;1.2;V;1;V
28;58;4;42;28058004_42_2;2016;2;15;5.7;V;5.7;V;5.7;V;5.7;V;5.8;V;5.8;V;5.8;V;6;V;5.9;V;5.9;V;5.9;V;5.9;V;5.9;V;5.8;V;5.8;V;5.9;V;5.8;V;5.9;V;5.9;V;5.8;V;5.9;V;5.9;V;5.8;V;5.8;V
28;58;4;44;28058004_44_2;2016;2;15;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.7;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V;0.6;V;0.6;V;0.5;V;0.5;V;0.5;V
28;6;4;7;28006004_7_8;2016;2;15;1;V;1;V;1;V;1;V;1;V;1;V;14;V;9;V;13;V;5;V;;N;2;V;3;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V
28;6;4;8;28006004_8_8;2016;2;15;3;V;1;V;1;V;1;V;2;V;10;V;24;V;50;V;57;V;26;V;;N;6;V;8;V;8;V;8;V;9;V;10;V;11;V;17;V;13;V;10;V;8;V;4;V;3;V
